model,feature,run_tag,run_dir,dev_eer,dev_thr,eval_eer,eval_acc,eval_tpr,eval_fpr
GMM-LFCC,lfcc,K64_cap100_S6000_F800000_20251116-1640,/Users/nasseralameri/Documents/GitHub/elec5305-project-510044280/results/models/gmm_lfcc/K64_cap100_S6000_F800000_20251116-1640,0.0057074249754551325,-1.9212855100631714,0.09570462820737359,0.778303409744936,0.0,0.0
GMM-MFCC,mfcc,K64_cap100_S6000_F800000_20251116-1649,/Users/nasseralameri/Documents/GitHub/elec5305-project-510044280/results/models/gmm_mfcc/K64_cap100_S6000_F800000_20251116-1649,0.0995604522342182,-1.2820403575897217,0.12509531988693207,0.8411920771509188,0.0,0.0
CNN-LFCC,lfcc,cnn_T400_E15_B32_S6000_BAL_20251116-1823,/Users/nasseralameri/Documents/GitHub/elec5305-project-510044280/results/models/cnn_lfcc/cnn_T400_E15_B32_S6000_BAL_20251116-1823,0.00033078562218956256,1.0877103805541992,0.1277933443780853,0.6366916068896781,0.5949563257255565,0.0008157715839564922
CNN-MFCC,mfcc,cnn_T400_E15_B32_S6000_BAL_20251116-1659,/Users/nasseralameri/Documents/GitHub/elec5305-project-510044280/results/models/cnn_mfcc/cnn_T400_E15_B32_S6000_BAL_20251116-1659,0.14639164848683534,-2.443451166152954,0.2029873942675281,0.7635638783216587,0.7537177921793307,0.15091774303195105
